0002E1E1	Economic impact analysis
0802FAE5	Macroprolactin
08042FF2	Shearing
080FCB25	Inverse problem
081AABA4	Minimum viable population
0825030D	Reachability
082D26AD	Psychological resilience
082D3670	Nested transaction
0833DE06	Docking
08346241	Stellar structure
08354DEA	Deltoid curve
083998D5	Health administration
083B7149	Polishing
083EC6F7	Electronics
0841887D	Rolle's theorem
0842C169	Genetic distance
084337A2	Quantum nonlocality
08740B41	Least frequently used
087B1623	Verification
088FE17D	Sleep spindle
08B42981	Extreme ultraviolet
08B6F0BD	Declarative programming
08BCED42	Centroid
08BE41C6	Enantioselective synthesis
08C19651	Stopping power
08C7E4B5	Describing function
08C8A930	Standard enthalpy of formation
08D0AEFA	Mantle plume
08E6E1BE	Upwelling
08F151FB	Ultrafine particle
08F8CDC5	Lorentz group
092C8C8D	Metathesis
093FA422	von Mises yield criterion
094825C3	Bolted joint
094C7F8C	Precipitable water
09567949	Mucocutaneous zone
09577C1C	Rab
0966F76C	Frequency scaling
09692C57	Insertion sequence
096B2489	Multinational corporation
09700FDE	Polarity
0972E655	Fusion
097969AA	Carrier testing
097A7294	Operational definition
097C6C78	Evolutionary algorithm
09846EE9	Immunotoxicology
0997A881	Soil type
09991ACA	Regional geology
09A2041B	Error vector magnitude
09A540D9	Vector processor
09A6F050	Potential well
09C80212	ebXML
09CB17AD	Isotope
09D0D15D	Multiple
09D7DC0E	Biomedical text mining
09E35B6A	Sewerage
09EFB3F1	Image registration
09F001E0	Ontology
09F014DB	Self-oscillation
0A14AB20	Emmetropia
0A156E4B	ECLIPSE
0A228BEC	Simultaneous equations
0A27D7E0	Projection
0A3F2C41	Mechanical system
0A48FAE8	Fade margin
0A523B24	AC motor
0A5EB94C	Metasearch engine
0A66037A	Data compaction
0A731C84	Algebra homomorphism
0A7545AC	Sun scald
0A7577A2	Value system
0A7A03B1	Urination
0A7DBC5D	Least squares
0A88B0C7	Multiple choice
0AB59075	Sentinel node
0AC29D7C	Adenylate kinase
0AD388D1	Magnetic force microscope
0B050D2C	Finite-difference time-domain method
0B185B53	Dielectric heating
0B1BF3DB	Uranium-238
0B20EA02	Bulbocavernosus reflex
0B216787	Tissue factor
0B2B920A	Polymer blend
0B434BBE	Resource dependence theory
0B448570	Directivity
0B5D6107	Discrete choice
0B636425	Chip and PIN
0B788996	Vehicular ad hoc network
0BA808BF	Unit root
0BB144B4	Immunophenotyping
0BB405D8	SH3 domain
0BB561F5	Suppression subtractive hybridization
0BB5D344	Language pedagogy
0BBA6908	Standard addition
0BBF3B8A	Lagrangian coherent structures
0BBF736F	Probability mass function
0BC2DEC2	Hypergeometric function
0BC766DE	Atiyah–Singer index theorem
0BD48665	Survey data collection
0BD59FC8	Temperature gradient gel electrophoresis
0BDF03BC	Metal ions in aqueous solution
0BEDB32B	Quaternion
0BF1631D	Vaporized hydrogen peroxide
0BF8C29B	Isotopes of gallium
0BF9C3C8	Singular point of a curve
0C0B34F5	Placebo-controlled study
0C10A522	Synthetic fuel
0C22EF05	Hessian matrix
0C3580D7	Positive pressure
0C3F1A3A	Cochran–Mantel–Haenszel statistics
0C454DEF	Pull apart basin
0C4F6833	Diophantine equation
0C530677	Sericin
0C576C67	Superalloy
0C59C288	Enterprise risk management
0C629EE1	Critical dimension
1E08E987	Urban agriculture
1EF31B89	Influenza A virus subtype H5N1
202826EB	Glass
2033BEED	Neodymium
20A5A9D8	Liberalism
20CFA49F	Roman Empire
58E88481	Cell
000D4A6E	Elliptical galaxy
000D6F28	Colony-stimulating factor
00214E71	Ionic bonding
00398860	Smoothing
003C3971	CYP2C9
0041B15E	Least significant bit
005D824C	Entire function
0060C626	Rotation around a fixed axis
00816634	Intermediate frequency
0092E9C8	Autonomous system
009649C9	Jaynes–Cummings model
00CAFED2	Angular resolution
00CF63B7	Mitochondrial permeability transition pore
00D98BFC	Gravitational field
00DBAC56	Common cause and special cause
00E9C3AB	Adiabatic shear band
00EBC618	Varix
00F8FC41	High-κ dielectric
00FC11B6	Perfect conductor
0104E6D1	Partially observable Markov decision process
0118C562	Eagle's minimal essential medium
0127A31C	Hemocytometer
012B35B0	Region of interest
0131C39D	Gross anatomy
01332841	Mathematical and theoretical biology
013941F6	Topsoil
0144B40E	Venture capital
014B4A6D	Conflict resolution
01630102	ATPase
0167F10D	Hormone receptor
01774150	Carbon capture and storage
0177D39D	Chlorophyll fluorescence
017DF686	Socialization
0187454E	Incubation
018CCA91	Conjugate prior
019A6E30	Earth Orientation Parameters
019E5E94	Pointwise convergence
019E66CE	Generalizability theory
019EB057	Systems thinking
01A3A3A7	Intermetallic
01B3BE33	Canonical ensemble
01CF3B0F	Clutch
01D2C303	Credit default swap
01F6B79D	Network analysis
01F869C5	Diphtheria toxin
02028B74	k-d tree
020A54F3	Star
0219DC7B	Molar volume
02250043	Jarque–Bera test
02305B4D	Trachyte
02306AEC	Educational research
02320174	ISO 9000
02381178	Experiential learning
023C39CB	PON1
02595BA7	Natural hazard
025D404D	New production
025ED615	Water table
02600750	Extreme point
02781E58	Point estimation
027F6E15	Moulting
02856AF0	Socioeconomic development
02910EC7	RPTOR
029551C9	Interval
02956B9D	Youden's J statistic
02A1BFD4	Simulation
02A9CB80	Low-pass filter
02B4A049	Powered exoskeleton
02B86E67	Electronic speed control
02B9E448	S-box
02BCBE57	Non-linear least squares
02C892D7	Endocrine system
02DCC8AB	Real-time polymerase chain reaction
02E2578D	Galactic halo
02E5485D	French
03048E5E	General-purpose computing on graphics processing units
030502AB	Tropics
0308A2D5	Hybrid system
03091AFF	Alternator
030C820D	Mid-ocean ridge
03129CFF	p38 mitogen-activated protein kinases
03133C21	Food quality
031B4DDB	Truck
0324061C	Combinatorial optimization
03381088	Urban heat island
033AFC6B	Beamforming
0341E0FD	Relationship marketing
034635A5	Photoacoustic imaging in biomedicine
034D48D4	Process design
034F3D9C	Contraction mapping
0357D0DE	Integer programming
035BD3ED	Liskov substitution principle
035C2E72	Sparse matrix
0360F02F	Plaque-forming unit
03650478	Trimming
0373551C	Adaptive coding
0373C334	Capital budgeting
037B112A	Cracking
037C357F	Receiver operating characteristic
038A7707	Human performance technology
03990326	Extinction
039A5D12	Particle-size distribution
039C90E2	Binding potential
039D5A1E	Deterrence theory
03ADB923	Feces
03B0DE41	Magnetosheath
03BFBEE7	Mean opinion score
03C21533	ISO/IEC 9126
03D5212F	Colorimetry
03F0A5A7	Cognitive flexibility
03F44370	Log-rank test
040C2DED	Adenosine receptor
0412BF27	Radiation pressure
041EA9E9	Enzyme catalysis
042AB2AA	Refrigeration
042F7801	Nonsense-mediated decay
04333BEB	Foramen secundum
04489DB6	Bioartificial liver device
0454B3E9	Shot noise
0462F259	Denitrification
046A4108	Intelligent agent
0470341E	Sonochemistry
04777C35	Cavity quantum electrodynamics
04848A43	Typology
048AAA26	Co-processing
048B94D2	Hydrography
04920856	Context-dependent memory
0493F016	Runway visual range
0494D2A6	Coding gain
0496213A	Ephemeral key
049B0C67	Software-defined networking
04AFAD48	Correlation function
04E15B8A	Network monitoring
04E581AF	Price of anarchy
04E9D1AD	Carbon nanofoam
04EE01E5	Plasma
04F24D6B	Medical jurisprudence
04F66617	Shock
04FACAFE	Industrial gas
04FFB937	Scopus
0502B581	HTML5
0507BE6D	Blood pressure
050B8D07	Void
050DE1D3	Life support system
0511FB22	Mesopotamia
0515C0B6	Photoisomerization
05187E39	T-function
0524BE9B	Gravitational constant
0528747E	Compound semiconductor
0530E948	Proletarianization
0537F812	Tyrosinase
053F42F3	Multiple sequence alignment
05561CED	Data scrubbing
05867923	Cross-phase modulation
0587F8FA	Interconnectedness
05886C49	Stemming
0593419E	Epidermis
059C48A2	Value at risk
059D631D	Nuclear cross section
05A4931E	Intron
05ADA628	Activity theory
05B8A3F3	Quantitative analysis
05C241FC	Phosphate buffered saline
05DA0DDE	Stellar dynamics
05DA99B4	Scanning Hall probe microscope
05EDB129	Injective module
05F1F525	Kyoto Protocol
06025B6F	Polysaccharide
06063730	Fluid-attenuated inversion recovery
060F0E50	FLT1
061285BD	Hodgkin–Huxley model
06307385	Transonic
064FF158	Evolutionary computation
0651E59F	Video compression picture types
06561BB3	Futures contract
0669515F	Membrane lipids
06828F7A	Haines Index
068673C6	Homogeneous catalysis
068A2B45	Metaheuristic
0694139F	Metamaterial
06A6C58D	Trigonal bipyramidal molecular geometry
06C107DC	Diagonal matrix
06C5BAAD	Tribe
06D61FF5	Eye development
06E4756D	Digital image correlation
06FD4A1B	Clonogenic assay
07033D1A	Data
0703D22B	Placement
0708DBDB	System on a chip
070D600C	Point distribution model
070EE5A9	Water well
071072C9	Agriculture
07134043	Dynamic random-access memory
071B5815	Business ethics
072CACC6	Light
0740BC96	Control variates
074A5925	Added mass
074D4F9E	Crossover
0761F4EF	Opinion
07741451	Carbon-13
0776A396	Position effect
0777BD52	Absorption
077A8B34	Fauna
07835C05	Detonator
078D4E8F	Complex dynamics
07988724	Polynomial expansion
07993977	Ichthyology
07A90BBE	Network on a chip
07A928EB	Somatic hypermutation
07C381D7	Packing problems
07D57F59	Astronomical spectroscopy
07F07700	Empirical modelling
07F13BF8	Aridisol
07F2B7A7	Isothermal process
07F81246	Harvest
0808C663	Glyceraldehyde 3-phosphate dehydrogenase
0816186D	Debt ratio
081F4E7A	Quantum chaos
082280B0	Brittleness
08249F80	Mirror neuron
082E9F5D	Evolution of sexual reproduction
08434707	Chromosomal translocation
084F2FD9	Heterotrimeric G protein
084F766F	Molecular machine
085DD4FA	Satellite DNA
088D5C74	X-ray spectroscopy
089C4E54	Critical point
08A8F761	Reciprocity
08BC1510	Blood proteins
08CD8A62	Homotopy group
08CF176F	Physical Chemistry
08D16E11	Camera phone
08E31F85	Visual sensor network
08EE1FEE	Solvation shell
090501F7	Landé g-factor
0909CEB9	Dwell time
091AD91A	T-symmetry
092593D9	Caisson
092B9A32	Transferrin saturation
094B1AA7	Thermal desorption spectroscopy
095155F1	Grounded theory
095897F0	Aftershock
09795396	Taylor series
09818A93	Dead time
098A189A	Toe
09ACF428	Covering space
09B4A86A	Microchimerism
09B4DC24	Photodegradation
09C1939A	Neumann boundary condition
09C8755F	Closed timelike curve
09D1EC85	Global optimization
09E6DBE6	Renormalization
09F350FF	Monomer
09F3A056	Air traffic control
09F5121A	Applied linguistics
0A35029A	Voice over IP
0A3BBF41	Physical fitness
0A45909D	General linear group
0A513583	Asynchrony
0A5613EA	Nonlinear distortion
0A64D1E7	Thermal hydraulics
0A7AFACC	Stein's example
0A83BFFD	Avidin
0A8EC975	Tooth mobility
0A97363B	Shader
0A978364	Organic horticulture
0A9E97B9	Inflorescence
0A9F1432	Sufficient statistic
0AAB6039	Particle system
0AAD1E75	Complex plane
0ACB6DB1	Mechanotransduction
0AD17931	Excited state
0ADF01BC	Diversification
0AF72F65	Ab initio quantum chemistry methods
0B05D6E3	Seed dispersal
0B0B8847	Relativism
0B27F053	Streaming algorithm
0B477E41	Combined forced and natural convection
0B4FCAFA	Van de Graaff generator
0B56B90B	Small hairpin RNA
0B5782B4	Isospin
0B6205FC	Informal education
0B74A8E6	Fault gouge
0B8FA1FA	Acting
0B90FD4B	Psychoactive plant
0BA38551	Isotopes of gold
0BA7B218	Self-similar process
0BB2F802	Mapping class group
0BB37543	VO2 max
0BBED543	Probability density function
0BC60E80	Sunshine duration
0BDD0485	Narrative
0BF481D0	Loss mitigation
0BF55FD7	Cleaner production
0C04F028	Procurement
0C08CE65	Cohort study
0C0BCFF2	Non-return-to-zero
0C16414E	Social simulation
0C1A1702	Crystallization
0C1F9AEC	Detonation
0C2B2C91	Inter-process communication
0C406168	Young adult
0C528CCB	Magnetic levitation
0C553ADF	COPI
0C5F7AF1	Wild type
0C610875	Domain knowledge
1DDADD38	Latent Dirichlet allocation
1E871A42	Entertainment
1ECD34E6	Mobile Web
1EF2B3EA	Digital art
1F032D01	Energy conservation
1F69F7C0	Thorium
1FFBE1EB	Alternative media
20ADAE88	Comedy
2118F2A8	Carcinogenesis
211FFFD7	Sonar
21532F8D	Thallium
0014FA5A	Consumption
0021F721	Inducer
0026383F	Optode
002D41A1	Mesohyl
002EE408	Information hiding
00380E3B	Threshold of pain
004087C4	Structural functionalism
0068640A	Degrees of freedom
0072AC55	Weak localization
007E1992	Ovariectomized rat
0090B5F4	Likelihood-ratio test
00B75EA0	Fiscal federalism
00BF9FFC	Selective breeding
00C5BC08	Event study
00C64685	Chimney
00E6789A	Plücker coordinates
00E9D5C0	Beta-1 adrenergic receptor
00EFB22F	Domain analysis
00FCD05B	Neurology
010FFFBA	Plane
011D56C7	Voltage-dependent calcium channel
012C852A	Hadron
012E925E	Ocean acidification
013700A3	Turbine blade
016137BC	Seismic anisotropy
0167AE29	Equivalent circuit
01866EBD	Aether
018AD9C0	Weak interaction
018B721B	Stochastic simulation
01A7196A	Potentiometer
01C3A27D	Historiography
01CBD15C	Neutron radiation
01CEFB71	Ideal gas
01D13339	Biological interaction
01D6328B	Video denoising
01DB9F57	Hierarchy
01E077A3	Polygon mesh
01EABF19	Starspot
01EC20FF	Adverse selection
02046607	Foreign direct investment
022C10E3	Yeast in winemaking
0233EED9	Throat microphone
024005D1	Nuclear reactor core
02497A50	Security analysis
024DCD9A	Interfacial thermal resistance
0252834D	Spectral element method
025B2346	Cyclotron
026121AB	Neurochemistry
026E0EA5	Recombinant DNA
0270D42E	Laminated glass
0280C92A	Pressure coefficient
02925412	Symbiosis
02AB8B29	Neuroactive steroid
02ADB18C	Terpene
02BA4FF8	Extremely high frequency
02BC726D	Active ingredient
02CC282B	Outsourcing
02CF3F45	Agricultural machinery
02D2792C	Interleukin 17
02DC88FD	Motion capture
02ED697B	Optical add-drop multiplexer
02EF3A18	Student's t-distribution
02F2A6C4	Delay spread
02F4F642	Bicubic interpolation
02FD54BA	Microdialysis
03007D7A	Longest prefix match
0300923B	Computer-aided software engineering
0312E0DF	Lie algebra
0318423A	Frequency distribution
0333D4C5	STX1A
0334AE26	Chemotaxonomy
033A85AB	Chemotaxis
033E15E3	PEG ratio
033EF774	RNA splicing
0344A002	Polyhedron
034576BF	Category theory
034932C2	Diffusion map
034BBA41	Vandermonde matrix
03531272	Pharmacogenetics
035AC7BE	Resizing
0368C651	Heat engine
037435CB	Membrane transport
0375472E	Lipidomics
0386D34D	Periphyton
039F7687	Probabilistic method
03B09E04	Copper loss
03B875A4	Draft tube
03C2F56F	Complex adaptive system
03D0705C	Diurnal cycle
03DDEE22	Cognitive neuroscience of visual object recognition
03E38E86	Control theory
03FEB1FE	BMP file format
04006B79	KREEP
04028DA5	Mollisol
040F265E	Basso continuo
042B06B5	Kinetic isotope effect
04331253	Devaluation
04402FB1	Hormone
04411CCA	Juvenile delinquency
04447EB0	Display resolution
0465400D	Quasi-experiment
0467F843	Single crystal
0478D57B	Green computing
047C3797	Schlieren photography
047C8175	Pumice
0482AF94	Flow
0482DB7F	Big data
04886618	Powertrain
048B09CE	Steiner tree problem
04A72F4F	Reed–Solomon error correction
04BDAF6A	Keystroke dynamics
04C2DE95	Intracellular
04C82BB8	Genetic counseling
04C9409E	Photosystem II
04CA7458	Thought
04CE8044	Halophile
04DDE898	Group theory
04ED07FD	Elliptic geometry
04EF4210	Giant resonance
0507E418	Non-Newtonian fluid
0509C2A8	Decision tree
05325E2C	SBML
0559437D	Fire regime
0562367C	Neural gas
056EE810	Binary search tree
0578EC8B	Incentive compatibility
058485E0	Singular integral
0588CC54	Space research
058B8FDB	Marketing strategy
058E854F	Differential
05A587A9	Sieve
05B7905D	Relational algebra
05B816B3	Shale oil
05B87861	Mean length of utterance
05C594C7	Phase modulation
05DF8A28	Blastoderm
05E449E4	Rent-seeking
05E619B4	Transaction cost
05F04784	Natural transformation
05F3269F	Swap
05F4E82B	X band
0602FCB9	Certified reference materials
06107ED3	Emotional conflict
0615859C	Thermoluminescence
0617FDA6	Herd behavior
061B4913	GLONASS
0622B694	Privacy policy
062A1DFA	Competitive intelligence
0637C2EB	Digital image processing
0652BB94	Strong topology
065458B8	Hay
0668B6C2	Legal pluralism
06773C17	Carboxypeptidase
0679DC84	Full width at half maximum
0694BD9B	J integral
0694C07C	XIST
069A2699	Minkowski distance
069ACC8C	Turbulent diffusion
06A5535A	Formal verification
06B4B1A2	Automaton
06BD3336	Motor coordination
06C284CD	Nuclear fission product
06DB8C92	Ranging
06DE6CBC	Earth remote sensing
06EC9808	Dividend
06F8E16A	Atterberg limits
06FD8D0A	Register file
06FF90D7	Cloture
070D2CA3	Hydrodynamical helicity
07176991	Real-time Control System
071B9A8A	First principle
0721C5D7	Elementary cognitive task
0721D2A8	Photography
0724DFBA	Machine learning
0727147B	Hydrophobe
0728B2FC	Discriminant validity
072C945C	Trigonometric series
0739A1F8	Sustainable design
073C9AF8	Pulpwood
073D9312	Spatial filter
073F4560	Homeobox
0740CE13	Activity recognition
074641D0	Ergodic theory
0753FD9E	Extreme programming
078629CB	Chip-scale package
07878552	Internal medicine
0787FBE3	Polynomial matrix
079731D1	Numerical integration
0799CB6B	Heisenberg group
07A68852	Secondary growth
07AA884B	Social
07B3A109	Gear pump
07BA2A2B	Active shape model
07C09FE0	Social relation
07C47709	Vesicle
07CAA859	Customer lifetime value
07E4FE5F	Contrast ratio
07F511B2	Log-structured merge-tree
07F892F0	Control engineering
0808222B	Unit load
081E3559	Variety
08387116	Asymptomatic carrier
0839DF12	Mechanical index
083E72FC	Mining
0848AFA4	Cloaca
084D2D80	SNP
0887A9D5	Pome
0887B02E	Emotional expression
088E47D1	Cube
0895AE0E	Horticulture
0897F68A	Surface-area-to-volume ratio
089DC393	Function of several real variables
08A1BC8A	Biclustering
08AFE92A	Handicraft
08B11191	Chloride channel
08C0B1A2	Einstein
08C9FB13	Deterministic system
08D88A51	Group signature
08E4320A	Efficacy
08E58900	Uniformization
08FBA8BF	Social studies
090C670B	Ecotourism
091AFAE5	Modular exponentiation
09208C04	Oil shale
0920E3B4	Padé approximant
093CC31E	Lucas sequence
094B50E0	Normal-form game
0953DDAE	Natural density
095B930C	Channel
095DBFF1	Loudspeaker
09632CF4	Video-oculography
09760FF0	SCARA
09827A58	Histamine receptor
098AC365	Efficiency factor
099836A1	Forward kinematics
09A2B2F2	Technology forecasting
09C10F1D	Ovary
09CCFCFF	Institutionalisation
09D486D4	Molecular descriptor
09E230BC	Geodesic
09E8CFA7	Trinucleotide repeat expansion
09EDD021	Build to stock
09F089D1	Borel measure
09FAC663	Cross section
09FCA534	Median lethal dose
0A1035EA	Beam
0A14086C	History of architecture
0A321EF6	Regeneration
0A4FA31E	Electronic speckle pattern interferometry
0A5C06E3	Guanylate cyclase
0A61F543	Quasi-phase-matching
0A6FB41A	Mulch
0A778888	Microorganism
0A7E5C48	Analytical hierarchy
0A7F5900	Langmuir probe
0A811194	Yield curve
0A8BCA03	Natural rubber
0AA3AB10	Tissue transglutaminase
0AA65C69	Information filtering system
0AA9A42D	Responsivity
0AD278A6	Dextrose equivalent
0AD681DF	Gauge theory
0AE4CF92	Greeks
0AE867C7	Personalization
0AED258E	Case definition
0AF85D57	World Values Survey
0B029CAD	Topology
